canvas_section_id,section_id,canvas_course_id,course_id,name,status,start_date,end_date,canvas_account_id,account_id
1523115,DEFSEC:1336780,1336780,5200570,,,,,
1523114,SEC:2015-B-65560,1336780,5200570,,,,,
1523114,SEC:2015-B-65560,1336780,4878287,,,,,
1523099,DEFSEC:1336761,1336761,5200239,,,,,
1523098,SEC:2015-B-05916,1336761,5002121,,,,,
1523097,SEC:2015-B-05768,1336761,5200239,,,,,
1523096,SEC:2015-B-05765,1336761,4885783,,,,,
1523095,SEC:2015-B-05762,1336761,4897506,,,,,
1523094,SEC:2015-B-05759,1336761,5014564,,,,,
1523094,SEC:2015-B-05759,1336761,5014172,,,,,
1523093,SEC:2015-B-05756,1336761,5001714,,,,,
1523093,SEC:2015-B-05756,1336761,5045302,,,,,
1523092,SEC:2015-B-05753,1336761,5014564,,,,,
1523092,SEC:2015-B-05753,1336761,5014172,,,,,
1507885,,1324863,5161783,,,,,
1509043,SEC:2015-B-32236,1325948,5020860,,,,,
1522951,DEFSEC:1336653,1336653,4949795,,,,,
1522950,SEC:2015-B-51990,1336653,4918527,,,,,
1522950,SEC:2015-B-51990,1336653,4949795,,,,,
1523015,DEFSEC:1336696,1336696,4876990,,,,,
1494098,,1311902,4878037,,,,,
